id,project,meeting_number,speaker_number,speech_frequency,total_words,duration,normalized_speech_frequency,speaker_id,next_speaker_id,count,network_density,weighted_network_density,gini_coefficient,interaction_equality_index,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality
3_2_SPEAKER_01,3,3,1,241,6431,68,3.5441176470588234,1,2,1,0.5833333333333334,9.916666666666666,0.5021008386484005,0.009293947860598117,34,0.5,0.03125,0.2792633234734585
3_2_SPEAKER_01,3,3,1,241,6431,68,3.5441176470588234,1,3,15,0.5833333333333334,9.916666666666666,0.5021008386484005,0.009293947860598117,34,0.5,0.03125,0.2792633234734585
3_2_SPEAKER_02,3,3,2,408,6431,68,6.0,2,0,0,0.5833333333333334,9.916666666666666,0.5021008386484005,0.009293947860598117,44,0.3333333333333333,0.15,0.3337334172142288
3_2_SPEAKER_02,3,3,2,408,6431,68,6.0,2,1,0,0.5833333333333334,9.916666666666666,0.5021008386484005,0.009293947860598117,44,0.3333333333333333,0.15,0.3337334172142288
3_2_SPEAKER_02,3,3,2,408,6431,68,6.0,2,2,0,0.5833333333333334,9.916666666666666,0.5021008386484005,0.009293947860598117,44,0.3333333333333333,0.15,0.3337334172142288
3_2_SPEAKER_02,3,3,2,408,6431,68,6.0,2,3,22,0.5833333333333334,9.916666666666666,0.5021008386484005,0.009293947860598117,44,0.3333333333333333,0.15,0.3337334172142288
3_2_SPEAKER_03,3,3,3,5781,6431,68,85.01470588235294,3,0,0,0.5833333333333334,9.916666666666666,0.5021008386484005,0.009293947860598117,158,0.5,0.05,0.9003377364437236
3_2_SPEAKER_03,3,3,3,5781,6431,68,85.01470588235294,3,1,17,0.5833333333333334,9.916666666666666,0.5021008386484005,0.009293947860598117,158,0.5,0.05,0.9003377364437236
3_2_SPEAKER_03,3,3,3,5781,6431,68,85.01470588235294,3,2,20,0.5833333333333334,9.916666666666666,0.5021008386484005,0.009293947860598117,158,0.5,0.05,0.9003377364437236
3_2_SPEAKER_03,3,3,3,5781,6431,68,85.01470588235294,3,3,42,0.5833333333333334,9.916666666666666,0.5021008386484005,0.009293947860598117,158,0.5,0.05,0.9003377364437236
3_3_SPEAKER_00,3,4,0,338,7206,86,3.9302325581395348,0,0,3,0.75,15.416666666666666,0.37972972890869244,0.20831568074221918,50,0.0,0.0297029702970297,0.29267172448906176
3_3_SPEAKER_00,3,4,0,338,7206,86,3.9302325581395348,0,1,1,0.75,15.416666666666666,0.37972972890869244,0.20831568074221918,50,0.0,0.0297029702970297,0.29267172448906176
3_3_SPEAKER_00,3,4,0,338,7206,86,3.9302325581395348,0,2,0,0.75,15.416666666666666,0.37972972890869244,0.20831568074221918,50,0.0,0.0297029702970297,0.29267172448906176
3_3_SPEAKER_00,3,4,0,338,7206,86,3.9302325581395348,0,3,21,0.75,15.416666666666666,0.37972972890869244,0.20831568074221918,50,0.0,0.0297029702970297,0.29267172448906176
3_3_SPEAKER_01,3,4,1,312,7206,86,3.627906976744186,1,0,0,0.75,15.416666666666666,0.37972972890869244,0.20831568074221918,66,0.3333333333333333,0.15,0.3947545024887606
