id,project,meeting_number,speaker_number,speech_frequency,total_speeches,normalized_speech_frequency,speaker_id,next_speaker_id,count,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,density
4_2_SPEAKER_01,4,3,1,119,689,0.17271407837445574,1,1,76,2.25,0.027777777777777776,0.8,0.4002430230357327,1.15
4_2_SPEAKER_01,4,3,1,119,689,0.17271407837445574,1,2,1,2.25,0.027777777777777776,0.8,0.4002430230357327,1.15
4_2_SPEAKER_01,4,3,1,119,689,0.17271407837445574,1,4,1,2.25,0.027777777777777776,0.8,0.4002430230357327,1.15
4_2_SPEAKER_00,4,3,0,104,689,0.1509433962264151,0,0,58,2.25,0.027777777777777776,1.0,0.48208891755528427,1.15
4_2_SPEAKER_00,4,3,0,104,689,0.1509433962264151,0,3,29,2.25,0.027777777777777776,1.0,0.48208891755528427,1.15
4_2_SPEAKER_00,4,3,0,104,689,0.1509433962264151,0,1,14,2.25,0.027777777777777776,1.0,0.48208891755528427,1.15
4_2_SPEAKER_00,4,3,0,104,689,0.1509433962264151,0,4,3,2.25,0.027777777777777776,1.0,0.48208891755528427,1.15
4_2_SPEAKER_04,4,3,4,70,689,0.10159651669085631,4,4,41,2.5,0.05555555555555555,1.0,0.48208891755528427,1.15
4_2_SPEAKER_04,4,3,4,70,689,0.10159651669085631,4,3,23,2.5,0.05555555555555555,1.0,0.48208891755528427,1.15
4_2_SPEAKER_04,4,3,4,70,689,0.10159651669085631,4,0,2,2.5,0.05555555555555555,1.0,0.48208891755528427,1.15
4_2_SPEAKER_04,4,3,4,70,689,0.10159651669085631,4,2,2,2.5,0.05555555555555555,1.0,0.48208891755528427,1.15
4_2_SPEAKER_04,4,3,4,70,689,0.10159651669085631,4,1,2,2.5,0.05555555555555555,1.0,0.48208891755528427,1.15
4_2_SPEAKER_02,4,3,2,56,689,0.08127721335268505,2,0,1,2.0,0.0,0.8,0.3775928352370327,1.15
4_2_SPEAKER_02,4,3,2,56,689,0.08127721335268505,2,3,20,2.0,0.0,0.8,0.3775928352370327,1.15
4_2_SPEAKER_02,4,3,2,56,689,0.08127721335268505,2,2,34,2.0,0.0,0.8,0.3775928352370327,1.15
4_2_SPEAKER_02,4,3,2,56,689,0.08127721335268505,2,4,1,2.0,0.0,0.8,0.3775928352370327,1.15
4_3_SPEAKER_03,4,4,3,666,811,0.8212083847102343,3,3,600,2.5,0.20833333333333331,1.0,0.5320193529410421,1.0
4_3_SPEAKER_03,4,4,3,666,811,0.8212083847102343,3,0,18,2.5,0.20833333333333331,1.0,0.5320193529410421,1.0
4_3_SPEAKER_03,4,4,3,666,811,0.8212083847102343,3,4,5,2.5,0.20833333333333331,1.0,0.5320193529410421,1.0
4_3_SPEAKER_03,4,4,3,666,811,0.8212083847102343,3,1,34,2.5,0.20833333333333331,1.0,0.5320193529410421,1.0
4_3_SPEAKER_03,4,4,3,666,811,0.8212083847102343,3,2,9,2.5,0.20833333333333331,1.0,0.5320193529410421,1.0
4_3_SPEAKER_01,4,4,1,88,811,0.10850801479654747,1,3,31,2.5,0.20833333333333331,1.0,0.5320193529410421,1.0
4_3_SPEAKER_01,4,4,1,88,811,0.10850801479654747,1,4,11,2.5,0.20833333333333331,1.0,0.5320193529410421,1.0
4_3_SPEAKER_01,4,4,1,88,811,0.10850801479654747,1,1,40,2.5,0.20833333333333331,1.0,0.5320193529410421,1.0
4_3_SPEAKER_01,4,4,1,88,811,0.10850801479654747,1,0,3,2.5,0.20833333333333331,1.0,0.5320193529410421,1.0
4_3_SPEAKER_01,4,4,1,88,811,0.10850801479654747,1,2,3,2.5,0.20833333333333331,1.0,0.5320193529410421,1.0
4_3_SPEAKER_00,4,4,0,27,811,0.03329223181257707,0,3,17,1.75,0.0,0.8,0.4494700478684374,1.0
4_3_SPEAKER_00,4,4,0,27,811,0.03329223181257707,0,1,6,1.75,0.0,0.8,0.4494700478684374,1.0
4_3_SPEAKER_00,4,4,0,27,811,0.03329223181257707,0,0,4,1.75,0.0,0.8,0.4494700478684374,1.0
4_3_SPEAKER_04,4,4,4,17,811,0.02096177558569667,4,3,12,1.5,0.0,0.6666666666666666,0.34050513378034,1.0
4_3_SPEAKER_04,4,4,4,17,811,0.02096177558569667,4,1,4,1.5,0.0,0.6666666666666666,0.34050513378034,1.0
4_3_SPEAKER_04,4,4,4,17,811,0.02096177558569667,4,4,1,1.5,0.0,0.6666666666666666,0.34050513378034,1.0
4_3_SPEAKER_02,4,4,2,13,811,0.016029593094944512,2,1,4,1.75,0.0,0.6666666666666666,0.3405051337803399,1.0
4_3_SPEAKER_02,4,4,2,13,811,0.016029593094944512,2,3,6,1.75,0.0,0.6666666666666666,0.3405051337803399,1.0
4_3_SPEAKER_02,4,4,2,13,811,0.016029593094944512,2,0,2,1.75,0.0,0.6666666666666666,0.3405051337803399,1.0
4_3_SPEAKER_02,4,4,2,13,811,0.016029593094944512,2,2,1,1.75,0.0,0.6666666666666666,0.3405051337803399,1.0
4_4_SPEAKER_03,4,5,3,426,727,0.5859697386519945,3,3,340,2.5,0.027777777777777776,1.0,0.47581325656312895,1.15
4_4_SPEAKER_03,4,5,3,426,727,0.5859697386519945,3,4,12,2.5,0.027777777777777776,1.0,0.47581325656312895,1.15
4_4_SPEAKER_03,4,5,3,426,727,0.5859697386519945,3,1,23,2.5,0.027777777777777776,1.0,0.47581325656312895,1.15
4_4_SPEAKER_03,4,5,3,426,727,0.5859697386519945,3,0,41,2.5,0.027777777777777776,1.0,0.47581325656312895,1.15
4_4_SPEAKER_03,4,5,3,426,727,0.5859697386519945,3,2,10,2.5,0.027777777777777776,1.0,0.47581325656312895,1.15
4_4_SPEAKER_00,4,5,0,185,727,0.2544704264099037,0,3,46,2.5,0.027777777777777776,1.0,0.47581325656312895,1.15
4_4_SPEAKER_00,4,5,0,185,727,0.2544704264099037,0,0,113,2.5,0.027777777777777776,1.0,0.47581325656312895,1.15
4_4_SPEAKER_00,4,5,0,185,727,0.2544704264099037,0,1,20,2.5,0.027777777777777776,1.0,0.47581325656312895,1.15
4_4_SPEAKER_00,4,5,0,185,727,0.2544704264099037,0,4,4,2.5,0.027777777777777776,1.0,0.47581325656312895,1.15
4_4_SPEAKER_00,4,5,0,185,727,0.2544704264099037,0,2,2,2.5,0.027777777777777776,1.0,0.47581325656312895,1.15
4_4_SPEAKER_01,4,5,1,61,727,0.08390646492434663,1,1,11,2.5,0.027777777777777776,1.0,0.47581325656312895,1.15
4_4_SPEAKER_01,4,5,1,61,727,0.08390646492434663,1,3,21,2.5,0.027777777777777776,1.0,0.47581325656312895,1.15
4_4_SPEAKER_01,4,5,1,61,727,0.08390646492434663,1,0,19,2.5,0.027777777777777776,1.0,0.47581325656312895,1.15
4_4_SPEAKER_01,4,5,1,61,727,0.08390646492434663,1,2,6,2.5,0.027777777777777776,1.0,0.47581325656312895,1.15
